name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean
Vou Deixar na Cruz,Kleber Lucas,spotify:track:3CbPjnoNaOh07rbJxI9IBW,Vou Deixar na Cruz - Kleber Lucas,False,156.25,-1.3200547,0.39361492,0.04344315428908924,2197.0320264004436,0.13843203
Deus Cuida de Mim,Kleber Lucas,spotify:track:449TmbIw140iAdtYpUWB4h,Deus Cuida de Mim - Kleber Lucas,False,98.6842105263158,0.22248267,0.4213239,0.0483029634078867,2411.904864564215,0.11435155
Advogado Fiel,Bruna Karla,spotify:track:061NRgs8Iza1oxHTpHi3qq,Advogado Fiel - Bruna Karla,False,77.05479452054794,0.748249,0.38511148,0.059306161227440785,2561.689091426044,0.15528108
Meu Barquinho,Giselli Cristina,spotify:track:6uyh29cLTff8ei3LGHicJt,Meu Barquinho - Giselli Cristina,False,140.625,2.9886558,0.35263285,0.050692853629144934,2319.5640558650225,0.23867264
Caia Fogo - Ao Vivo,Fernandinho,spotify:track:2QOrs9ioPmQp4SPSi3MNQe,Caia Fogo - Ao Vivo - Fernandinho,False,144.23076923076923,1.0060048,0.47928736,0.04258801388417032,2481.1394323790005,0.17166458
O Que Sua Glória Fez Comigo,Fernanda Brum,spotify:track:0Y9nHU2Fhl76LHbRRmNQ6X,O Que Sua Glória Fez Comigo - Fernanda Brum,False,140.625,2.5852613,0.3998148,0.04404567292596341,2339.182054636216,0.17614248
Deus de Promessas,Toque no Altar,spotify:track:6xzbFFuCMO6xUZK9b0eO8k,Deus de Promessas - Toque no Altar,False,140.625,2.9858813,0.4043141,0.051531797003289616,2778.703834701258,0.21995476
Ele Não Desiste de Você,Marquinhos Gomes,spotify:track:344vyXHCBYXPGV4jO8Jo8X,Ele Não Desiste de Você - Marquinhos Gomes,False,140.625,-0.3982806,0.38635004,0.06165763423972854,2433.1240761759186,0.14771369
Restitui - Ao Vivo,Trazendo a Arca,spotify:track:3i4qQdnaQFdyCs3Art3LzD,Restitui - Ao Vivo - Trazendo a Arca,False,125.0,0.56069833,0.42354,0.06006240681247321,2901.5277681445173,0.18533328
Conquistando o Impossível,Jamily,spotify:track:2diKs21Dq3e6K2gfhMJLCO,Conquistando o Impossível - Jamily,False,137.1951219512195,-3.0965514,0.38508683,0.06041009187234423,2779.0000723090293,0.09482771
"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo",Régis Danese,spotify:track:7AA38Hs4o0EHdCiogPAuw3,"Faz Um Milagre Em Mim (Como Zaqueu, Eu Quero Subir) - Ao Vivo - Régis Danese",False,127.8409090909091,-8.583892,0.40628955,0.05856277869304008,2868.4048851412426,0.045454446
Que Ele Cresça (Humildade) - Ao Vivo,Deigma Marques,spotify:track:2M1KjQKBnUQ38LU3fNTbqy,Que Ele Cresça (Humildade) - Ao Vivo - Deigma Marques,False,144.23076923076923,4.464596,0.44524065,0.037697384471774016,2291.6889541276287,0.2305619
Sabor de Mel,Damares,spotify:track:50yPQZWDucOc6n1qdofN7T,Sabor de Mel - Damares,False,144.23076923076923,5.1797776,0.40377104,0.06297573094527342,2905.6751655995677,0.22823101
Ele Não Desiste de Você - Ao Vivo,Marquinhos Gomes,spotify:track:5fQYoR7st5kgsDw174m7UB,Ele Não Desiste de Você - Ao Vivo - Marquinhos Gomes,False,140.625,-0.3982806,0.38635004,0.06165763423972854,2433.1240761759186,0.14771369
O Maior Troféu,Damares,spotify:track:1s6kINRA4Py3YlYtPWhFew,O Maior Troféu - Damares,False,144.23076923076923,2.3727734,0.38987777,0.04828931269911133,2192.3350973610463,0.15357459
Casa do Pai,Aline Barros,spotify:track:5Phlatr2avk8DRTA1ahxb6,Casa do Pai - Aline Barros,False,133.92857142857142,4.8219156,0.4442887,0.047179400413101556,2118.528954302791,0.21526827
Me Ama - Ao Vivo,"Diante do Trono, Ana Paula Valadão",spotify:track:3WguVId9zbNufOTHgQiTOx,"Me Ama - Ao Vivo - Diante do Trono, Ana Paula Valadão",False,152.02702702702703,2.67698,0.3674777,0.05625510597358061,2484.541811488962,0.19390713
Tua Graça Me Basta,Trazendo a Arca,spotify:track:7IqLd3UXod118JSE1unCEZ,Tua Graça Me Basta - Trazendo a Arca,False,127.8409090909091,3.5916305,0.48965105,0.0848567361115378,3944.8226008566407,0.16451755
Com Muito Louvor,Cassiane,spotify:track:57JAYiwPmU93oowUWKwrEF,Com Muito Louvor - Cassiane,False,148.02631578947367,1.659844,0.4086863,0.05541105172629013,2749.7078851719593,0.13884124
Te Louvarei - Ao Vivo,Trazendo a Arca,spotify:track:4AgLJxOkacISI93JYPNUtp,Te Louvarei - Ao Vivo - Trazendo a Arca,False,130.8139534883721,4.492802,0.43000615,0.03936490218470909,2095.8146858316904,0.19797207
Preciso de Ti - Ao Vivo,Diante do Trono,spotify:track:57WRcTAI6bJ64A0IzdF4r6,Preciso de Ti - Ao Vivo - Diante do Trono,False,148.02631578947367,1.3512919,0.38214877,0.04741687972414063,2544.084633682592,0.13484102
Não Morrerei - Ao Vivo,Marquinhos Gomes,spotify:track:7tztN3e5IFxhOYV7KQgsuu,Não Morrerei - Ao Vivo - Marquinhos Gomes,False,127.8409090909091,0.7120081,0.39590627,0.06263186240868786,2830.2942448210906,0.14952758
Olha pra Mim,Toque no Altar,spotify:track:1zw6Xhftd6MUSYPhcEUw1T,Olha pra Mim - Toque no Altar,False,130.8139534883721,5.0465417,0.4764999,0.07180340325778028,3709.4850213468844,0.19732577
No Silêncio,Rose Nascimento,spotify:track:1pgHsf1WqOR7aCiqL3XYO7,No Silêncio - Rose Nascimento,False,127.8409090909091,3.7143855,0.3768024,0.05779898549264324,2615.0317363294307,0.23050067
Alive & Breathing (feat. Elle Limebear),"Matt Maher, Elle Limebear",spotify:track:1nmspIOQLdmBhGfT747dEJ,"Alive & Breathing (feat. Elle Limebear) - Matt Maher, Elle Limebear",False,137.1951219512195,-2.7729728,0.3971725,0.046845300761630626,2386.2187754255983,0.10565559
You Say,Lauren Daigle,spotify:track:6Up545NUflOiXo8cEraH49,You Say - Lauren Daigle,False,148.02631578947367,-1.7784206,0.32171512,0.03251659364473581,1592.6897330994814,0.1929901
Milagre - Ao Vivo,André Valadão,spotify:track:1wQshFMkDxr8Jz1McOZOJR,Milagre - Ao Vivo - André Valadão,False,144.23076923076923,-6.1195383,0.44171068,0.059078824349180284,2792.49072730301,0.033758108
Way Maker - Single Version,Leeland,spotify:track:0H4BGX7L8UfoD0g4wgXd0D,Way Maker - Single Version - Leeland,False,144.23076923076923,5.0505795,0.4436907,0.055393910819468845,2643.7959028692217,0.22453478
Raise a Hallelujah - Studio Version,"Bethel Music, Jonathan David Helser, Melissa Helser",spotify:track:4LnHfZGEitmIVS17wndaUI,"Raise a Hallelujah - Studio Version - Bethel Music, Jonathan David Helser, Melissa Helser",False,81.52173913043478,6.7963753,0.4464078,0.051092876516516006,2547.4758614665393,0.25198898
Nobody (feat. Matthew West),"Casting Crowns, Matthew West",spotify:track:0W7KIc2GSB9suYQAaMZ9rF,"Nobody (feat. Matthew West) - Casting Crowns, Matthew West",False,80.35714285714286,2.5184028,0.45591453,0.053818873355263155,2592.177444711828,0.21886022
Be Alright,"Evan Craft, Danny Gokey, Redimi2",spotify:track:7ds1OKySMhLxxf7z6KxFQs,"Be Alright - Evan Craft, Danny Gokey, Redimi2",False,160.71428571428572,-1.7355016,0.39923292,0.05460578951735255,2827.7631952253837,0.14429933
Uma Nova História - Ao Vivo,Fernandinho,spotify:track:2dV76Kw7RcwCAlSfSLLdbi,Uma Nova História - Ao Vivo - Fernandinho,False,147.65625,5.974592,0.4091587,0.07147873691678619,3404.7450630330263,0.23108937
Scars,I AM THEY,spotify:track:7reASFw2ZMgqahFJc6CMgl,Scars - I AM THEY,False,75.0,0.11330301,0.37695214,0.0509289002059157,2576.3981201972674,0.18361424
O Come to the Altar (Live),Elevation Worship,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live) - Elevation Worship,False,140.625,3.7461367,0.49720764,0.05249801686313649,2500.3307309357797,0.19387496
Known,Tauren Wells,spotify:track:1hrF6s6kfXuPv14OrD9v6X,Known - Tauren Wells,False,156.25,-3.0982022,0.35852006,0.0438698775582832,2379.940641139699,0.13920775
God's Not Done with You,Tauren Wells,spotify:track:5R6kMqnnpfA3ebbvAgbxBv,God's Not Done with You - Tauren Wells,False,140.625,3.0147147,0.3825957,0.057755810236707845,2719.0095038475224,0.19531861
Good Good Father,Chris Tomlin,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,Good Good Father - Chris Tomlin,False,144.23076923076923,4.5379143,0.41613445,0.05725526203761038,2699.4690897508594,0.24647686
Our God,Chris Tomlin,spotify:track:40lKptao1hxVqA7fd1OOGp,Our God - Chris Tomlin,False,104.16666666666667,6.0162215,0.4302379,0.06250136477821153,2918.257225067688,0.24595875
Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,spotify:track:2VuwpxQR7rTPWkoLkpANdz,Whom Shall I Fear (God Of Angel Armies) - Chris Tomlin,False,148.02631578947367,5.4900937,0.41599926,0.06139222296191869,2641.442508347418,0.24157728
