name,artists,uri,file_name,downloaded,tempo,mfcc_mean,chroma_mean,zcr_mean,spectral_centroid_mean,rms_mean
Eu Escolho Deus - Ao Vivo,Thalles Roberto,spotify:track:2MaKWxPGQ6zocvj2ciYREO,Eu Escolho Deus - Ao Vivo - Thalles Roberto,False,,,,,,
Acalma o Meu Coração,Anderson Freire,spotify:track:3VYgop8eTvEitSxxKc6jGp,Acalma o Meu Coração - Anderson Freire,False,,,,,,
Tua Graça Me Basta (feat. Verônica Sacer),Davi Sacer,spotify:track:5cjhrr4fjxrWEKEECV6d3B,Tua Graça Me Basta (feat. Verônica Sacer) - Davi Sacer,False,,,,,,
Raridade,Anderson Freire,spotify:track:3Gam4UbOwnwQQQKuItui39,Raridade - Anderson Freire,False,,,,,,
Quando Eu Chorar,Bruna Karla,spotify:track:3cq63zWjxoePzdCylIM52x,Quando Eu Chorar - Bruna Karla,False,,,,,,
Ressuscita-me,Aline Barros,spotify:track:7b07ZOEHDdp6jJbstnf0iB,Ressuscita-me - Aline Barros,False,,,,,,
Deus de Promessas,Davi Sacer,spotify:track:4qL8V4pTMJX0HMfyTFWuin,Deus de Promessas - Davi Sacer,False,,,,,,
Espírito Santo,Fernanda Brum,spotify:track:4qO3WITv7447OvVUAdJjzM,Espírito Santo - Fernanda Brum,False,,,,,,
Marca da Promessa - Ao Vivo,Trazendo a Arca,spotify:track:0RoDyiqHn62BlyqO4Knktr,Marca da Promessa - Ao Vivo - Trazendo a Arca,False,,,,,,
Vou Deixar na Cruz,Kleber Lucas,spotify:track:3CbPjnoNaOh07rbJxI9IBW,Vou Deixar na Cruz - Kleber Lucas,False,,,,,,
Deus Cuida de Mim,Kleber Lucas,spotify:track:449TmbIw140iAdtYpUWB4h,Deus Cuida de Mim - Kleber Lucas,False,,,,,,
Advogado Fiel,Bruna Karla,spotify:track:061NRgs8Iza1oxHTpHi3qq,Advogado Fiel - Bruna Karla,False,,,,,,
Meu Barquinho,Giselli Cristina,spotify:track:6uyh29cLTff8ei3LGHicJt,Meu Barquinho - Giselli Cristina,False,,,,,,
Caia Fogo - Ao Vivo,Fernandinho,spotify:track:2QOrs9ioPmQp4SPSi3MNQe,Caia Fogo - Ao Vivo - Fernandinho,False,,,,,,
O Que Sua Glória Fez Comigo,Fernanda Brum,spotify:track:0Y9nHU2Fhl76LHbRRmNQ6X,O Que Sua Glória Fez Comigo - Fernanda Brum,False,,,,,,
Deus de Promessas,Toque no Altar,spotify:track:6xzbFFuCMO6xUZK9b0eO8k,Deus de Promessas - Toque no Altar,False,,,,,,
